Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"8,966,467","First published September 14, 2008","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.","225,421",374,Hardcover,"3,909,827","Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic"
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"667,731","First published January 1, 1956","Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is ","12,850",767,Paperback,"1,460,608","Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade"
7,Animal Farm,George Orwell,3.99,"4,037,726","First published August 17, 1945","A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ","103,396",141,Mass Market Paperback,"1,584,824","Classics, Fiction, Dystopia, Fantasy, School, Literature, Science Fiction"
3,Pride and Prejudice,Jane Austen,4.29,"4,379,959","First published January 28, 1813","Since its immediate success in 1813, ","122,204",279,Paperback,"2,767,729","Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance"
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,"6,771,252","First published October 5, 2005",About three things I was absolutely positive.,"134,418",498,Paperback,"1,695,599","Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance"
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,"136,458","First published January 1, 1954","This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).","2,326",1728,Mass Market Paperback,"1,530,279","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy"
5,The Book Thief,Markus Zusak,4.39,"2,647,953","First published September 1, 2005","It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.","149,146",592,Kindle Edition,"1,846,129","Historical Fiction, Fiction, Young Adult, Classics, Historical, War, World War II"
4,To Kill a Mockingbird,Harper Lee,4.26,"6,333,147","First published July 11, 1960","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.","121,285",323,Paperback,"2,467,062","Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"3,490,274","First published June 21, 2003","Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.","67,201",912,Paperback,"3,148,718","Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure"
12,The Giving Tree,Shel Silverstein,4.38,"1,157,146","First published January 1, 1964","""Once there was a tree...and she loved a little boy.""","22,741",64,Hardcover,"1,188,010","Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
15,The Perks of Being a Wallflower,Stephen Chbosky,4.23,"1,852,981","First published February 1, 1999",standing on the fringes of life...,"96,172",213,Paperback,"1,105,742","Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction"
13,Wuthering Heights,Emily Brontë,3.89,"1,865,209","First published December 1, 1847",At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.,"65,873",464,Paperback,"1,180,093","Classics, Fiction, Gothic, Historical Fiction, Literature, Historical, Novels"
14,Gone with the Wind,Margaret Mitchell,4.31,"1,233,571","First published June 30, 1936","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","25,519",1037,Mass Market Paperback,"1,172,262","Historical Fiction, Fiction, Romance, Classics, Historical, Literature, War"
17,Jane Eyre,Charlotte Brontë,4.15,"2,145,932","First published October 16, 1847",.,"68,515",532,Paperback,"1,073,940","Classics, Fiction, Historical Fiction, Gothic, Literature, Historical, School"
11,The Picture of Dorian Gray,Oscar Wilde,4.13,"1,614,955","First published June 1, 1890",Oscar Wilde’s only novel is the dreamlike story of a young man who sells his soul for eternal youth and beauty.,"76,709",272,Paperback,"1,255,514","Classics, Fiction, Horror, Fantasy, Gothic, Literature, Novels"
99,The Old Man and the Sea,Ernest Hemingway,3.80,"1,191,780","First published September 1, 1952","This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.","42,212",96,Hardcover,"292,569","Classics, Fiction, Literature, Novels, School, American, Adventure"
98,Don Quixote,Miguel de Cervantes Saavedra,3.90,"280,726","First published January 1, 1605","Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.","12,686",1023,Paperback,"296,810","Fiction, Classics, Literature, Spanish Literature, Adventure, Historical Fiction, Novels"
96,The Complete Stories and Poems,Edgar Allan Poe,4.40,"279,791","First published November 1, 1849","This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.","3,322",821,Hardcover,"304,232","Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery"
94,Siddhartha,Hermann Hesse,4.07,"796,486","First published October 1, 1922","Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.","28,739",152,Mass Market Paperback,"310,366","Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism"
100,The Poisonwood Bible,Barbara Kingsolver,4.10,"757,454","First published September 24, 1998"," is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","28,665",546,Paperback,"290,216","Fiction, Historical Fiction, Africa, Classics, Literary Fiction, Historical, Religion"
97,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"605,902","First published April 12, 1976","This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.","17,789",346,Paperback,"299,565","Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic"
93,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"656,650","First published August 16, 2007","Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires—the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.","27,135",332,Paperback,"311,525","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction"
95,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,"637,761","First published September 5, 1996",Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,"14,618",452,Paperback,"305,862","Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir"
89,To Kill a Mockingbird,Harper Lee,4.26,"6,333,147","First published July 11, 1960","'Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.'","121,285",323,Paperback,"326,291","Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
91,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,"1,551,623","First published July 1, 1995","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.","28,457",399,Hardcover,"315,809","Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook"
92,"The Shining (The Shining, #1)",Stephen         King,4.27,"1,544,091","First published January 28, 1977","Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.","41,195",497,Paperback,"313,735","Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery"
88,The Road,Cormac McCarthy,3.99,"938,638","First published September 26, 2006","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.","62,770",241,Hardcover,"333,548","Fiction, Science Fiction, Dystopia, Post Apocalyptic, Horror, Literature, Novels"
90,It,Stephen         King,4.24,"1,153,081","First published September 15, 1986","Welcome to Derry, Maine ...","37,627",1116,Paperback,"316,918","Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery"
200,The Neverending Story,Michael Ende,4.18,"206,798","First published September 1, 1979",This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself. ,"9,998",396,Hardcover,"88,487","Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, German Literature"
86,And Then There Were None,Agatha Christie,4.28,"1,423,403","First published November 6, 1939","First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:","69,129",264,Paperback,"341,291","Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook"
87,A Clockwork Orange,Anthony Burgess,4.00,"728,455","First published January 1, 1962","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, ","21,841",240,Paperback,"340,088","Fiction, Science Fiction, Dystopia, Horror, Literature, Novels, Modern Classics"
199,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,"416,763","First published January 22, 1990","In his inimitable, humorous verse and pictures, he addresses the Great Balancing Act (life itself, and the ups and downs it presents) while encouraging us to find the success that lies within us.","6,577",44,Hardcover,"89,455","Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult"
198,The Phantom Tollbooth,Norton Juster,4.20,"292,692","First published January 1, 1961",This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. ,"13,773",248,Paperback,"89,905","Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure"
196,The Joy Luck Club,Amy Tan,3.97,"691,019","First published January 1, 1989","Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ","13,885",352,Paperback,"90,371","Fiction, Historical Fiction, Classics, China, Contemporary, Historical, Adult Fiction"
197,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25,"559,413","First published July 1, 1988","A serial murderer known only by a grotesquely apt nickname—Buffalo Bill—is stalking women. He has a purpose, but no one can fathom it, for the bodies are discovered in different states. Clarice Starling, a young trainee at the FBI Academy, is surprised to be summoned by Jack Crawford, chief of the Bureau's Behavioral Science section. Her assignment: to interview Dr. Hannibal Lecter—Hannibal the Cannibal—who is kept under close watch in the Baltimore State Hospital for the Criminally Insane.","10,209",421,Paperback,"90,188","Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller"
194,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.00,"252,902","First published March 2, 1931","This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.","11,943",418,Paperback,"90,899","Fiction, Historical Fiction, China, Classics, Literature, Historical, Asia"
195,Alice in Wonderland,Jane Carruth,4.03,"392,296","First published January 1, 1865",.,"5,611",96,Hardcover,"90,423","Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature"
193,The Night Circus,Erin Morgenstern,4.01,"1,010,562","First published September 13, 2011","The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. ","107,811",506,Hardcover,"91,055","Fantasy, Fiction, Romance, Historical Fiction, Magic, Young Adult, Audiobook"
192,"The Selection (The Selection, #1)",Kiera Cass,4.08,"1,615,736","First published April 24, 2012","For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.","81,872",336,Hardcover,"91,294","Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction"
190,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30,"317,620","First published August 25, 2009","The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.","11,572",503,Hardcover,"92,460","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance"
189,The Prophet,Kahlil Gibran,4.23,"306,844","First published January 1, 1923","Kahlil Gibran’s masterpiece, ","15,156",127,Paperback,"93,129","Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature"
191,The Call of the Wild,Jack London,3.91,"441,494","First published January 1, 1903","First published in 1903, ","16,241",172,Mass Market Paperback,"91,927","Fiction, Classics, Adventure, Young Adult, Animals, Historical Fiction, Literature"
188,Tess of the D’Urbervilles,Thomas Hardy,3.83,"289,378","First published January 1, 1891",Alternate covers can be found ,"12,266",518,Paperback,"95,140","Fiction, Classics, Literature, Historical Fiction, 19th Century, Victorian, Novels"
187,Heart of Darkness,Joseph Conrad,3.43,"524,092","First published January 1, 1899","Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.","21,502",188,Paperback,"95,579","Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels"
186,Bridge to Terabithia,Katherine Paterson,4.05,"558,593","First published October 21, 1977", ,"17,043",190,Kindle Edition,"95,875","Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction"
185,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20,"651,300","First published January 1, 1934","Just after midnight, a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans. The luxurious train is surprisingly full for the time of the year but, by the morning, it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.","42,512",274,Paperback,"96,649","Mystery, Fiction, Crime, Mystery Thriller, Audiobook, Thriller, Detective"
299,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,"11,564","First published July 3, 2007",A compulsively readable account of a journey to the Congo — a country virtually inaccessible to the outside world — vividly told by a daring and adventurous journalist.,846,363,Paperback,"50,415","Travel, Nonfiction, Africa, History, Adventure, Memoir, Biography"
297,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,"231,490","First published January 1, 1852","The narrative drive of Stowe's classic novel is often overlooked in the heat of the controversies surrounding its anti-slavery sentiments. In fact, it is a compelling adventure story with richly drawn characters and has earned a place in both literary and American history. Stowe's religious beliefs show up in the novel's final, overarching theme—the exploration of the nature of Christianity and how Christian theology is fundamentally incompatible with slavery.","10,136",438,Paperback,"50,549","Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American"
184,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.65,"2,321,396","First published May 3, 2016","Feyre survived Amarantha's clutches to return to the Spring Court—but at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.","197,549",626,Kindle Edition,"97,004","Fantasy, Romance, Young Adult, New Adult, Fiction, Fae, Romantasy"
300,Never Let Me Go,Kazuo Ishiguro,3.85,"735,137","First published April 5, 2005","Hailsham seems like a pleasant English boarding school, far from the influences of the city. Its students are well tended and supported, trained in art and literature, and become just the sort of people the world wants them to be. But, curiously, they are taught nothing of the outside world and are allowed little contact with it.","57,805",288,Paperback,"49,994","Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Romance, Classics"
296,White Oleander,Janet Fitch,4.00,"357,742","First published July 1, 1999","Everywhere hailed as a novel of rare beauty and power, ","9,500",446,Paperback,"50,593","Fiction, Coming Of Age, Contemporary, Literary Fiction, Drama, Adult Fiction, Chick Lit"
292,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.10,"205,277","First published January 1, 1985","Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.","5,794",481,Mass Market Paperback,"51,752","Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Gothic"
298,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.01,"694,955","First published May 26, 2011","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. ","34,888",432,Kindle Edition,"50,540","Romance, New Adult, Contemporary, Young Adult, Contemporary Romance, College, Fiction"
294,The Things They Carried,Tim O'Brien,4.14,"322,949","First published March 28, 1990","A classic work of American literature that has not stopped changing minds and lives since it burst onto the literary scene, The Things They Carried is a ground-breaking meditation on war, memory, imagination, and the redemptive power of storytelling. ","19,581",246,Paperback,"51,188","Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical"
290,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,"542,707","First published September 16, 1996","Under the streets of London there's a world most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet. ","30,468",370,Paperback,"52,148","Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction"
295,"Delirium (Delirium, #1)",Lauren Oliver,3.95,"470,879","First published February 3, 2011","In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake.","28,965",441,Paperback,"51,149","Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Teen"
293,King Lear,William Shakespeare,3.91,"224,015","First published January 1, 1605","Shakespeare’s King Lear challenges us with the magnitude, intensity, and sheer duration of the pain that it represents. Its figures harden their hearts, engage in violence, or try to alleviate the suffering of others. Lear himself rages until his sanity cracks. What, then, keeps bringing us back to King Lear? For all the force of its language, King Lear is almost equally powerful when translated, suggesting that it is the story, in large part, that draws us to the play.","7,396",339,Mass Market Paperback,"51,359","Plays, Fiction, Classics, School, Theatre, Literature, Poetry"
291,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"747,017","First published May 1, 2007",The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.,"31,836",566,Hardcover,"52,007","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
289,"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,"430,063","First published September 23, 2003",Alternate cover edition: ,"14,793",563,Paperback,"52,553","Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Magic"
288,The Idiot,Fyodor Dostoevsky,4.21,"190,882","First published January 1, 1869","Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two women—the notorious kept woman Nastasya and the pure Aglaia—both involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkin’s honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnett’s drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original story.","9,583",667,Paperback,"52,834","Fiction, Russia, Russian Literature, Literature, Classics, Philosophy, Novels"
382,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,"545,978","First published January 15, 1990","The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. What was, what will be, and what is, may yet fall under the Shadow.","23,939",800,Mass Market Paperback,"35,611","Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure"
287,Invisible Man,Ralph Ellison,3.91,"192,001","First published April 14, 1952","First published in 1952 and immediately hailed as a masterpiece, ","8,673",581,Paperback,"52,894","Fiction, Classics, Literature, Historical Fiction, Race, African American, Novels"
399,As I Lay Dying,William Faulkner,3.72,"173,241","First published January 1, 1930"," is Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members -- including Addie herself -- as well as others; the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American fiction in structure, style, and drama, ","11,440",288,Paperback,"33,354","Classics, Fiction, Literature, Novels, American, School, Southern Gothic"
400,Inferno,Dante Alighieri,4.02,"188,052","First published January 1, 1320","Professor Esolen's translation of Dante's Inferno is the best one I have seen, for two reasons. His decision to use unrhymed blank verse allows him to come nearly as close to the meaning of the original as any prose reading could do, and allows him also to avoid the harrowing sacrifices that the demand for rhyme imposes on any translator. And his endnotes and other additions provoke answers to almost any question that could arise about the work."" —A. Kent Hieatt","8,364",490,Kindle Edition,"33,254","Classics, Poetry, Fiction, Literature, Religion, Fantasy, School"
286,Into the Wild,Jon Krakauer,4.01,"1,115,791","First published January 13, 1996","In April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of ","29,791",207,Paperback,"52,905","Nonfiction, Biography, Adventure, Classics, Memoir, Nature, School"
398,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,"241,460","First published January 1, 1843","Edgar Allan Poe remains the unsurpassed master of works of mystery and madness in this outstanding collection of Poe's prose and poetry are sixteen of his finest tales, including:","1,686",448,Mass Market Paperback,"33,360","Classics, Horror, Fiction, Short Stories, Poetry, Gothic, Mystery"
397,Cold Mountain,Charles Frazier,3.89,"245,025","First published January 1, 1997"," is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.","6,717",449,Paperback,"33,454","Historical Fiction, Fiction, Historical, Romance, Civil War, War, Classics"
396,Go Ask Alice,Beatrice Sparks,3.74,"280,257","First published January 1, 1971","It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.","13,693",213,Paperback,"33,545","Young Adult, Fiction, Classics, Contemporary, Mental Health, Banned Books, Realistic Fiction"
392,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"603,700","First published January 5, 1886","Robert Louis Stevenson's masterpiece of the duality of good and evil in man's nature sprang from the darkest recesses of his own unconscious—during a nightmare from which his wife awakened him, alerted by his screams. More than a hundred years later, this tale of the mild-mannered Dr. Jekyll and the drug that unleashes his evil, inner persona—the loathsome, twisted Mr. Hyde—has lost none of its ability to shock. Its realistic police-style narrative chillingly relates Jekyll's desperation as Hyde gains control of his soul—and gives voice to our own fears of the violence and evil within us. Written before Freud's naming of the ego and the id, Stevenson's enduring classic demonstrates a remarkable understanding of the personality's inner conflicts—and remains the irresistibly terrifying stuff of our worst nightmares.","24,552",139,Mass Market Paperback,"34,187","Horror, Gothic, Science Fiction, Mystery, Fantasy, Literature, Audiobook"
391,Bel Canto,Ann Patchett,3.93,"293,649","First published May 22, 2001","Somewhere in South America, at the home of the country's vice president, a lavish birthday party is being held in honor of the powerful businessman Mr. Hosokawa. Roxane Coss, opera's most revered soprano, has mesmerized the international guests with her singing. It is a perfect evening—until a band of gun-wielding terrorists takes the entire party hostage. But what begins as a panicked, life-threatening scenario slowly evolves into something quite different, a moment of great beauty, as terrorists and hostages forge unexpected bonds and people from different continents become compatriots, intimate friends, and lovers.","19,653",318,Paperback,"34,380","Fiction, Contemporary, Literary Fiction, Historical Fiction, Book Club, Audiobook, Music"
389,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,"442,214","First published January 1, 1995", ,"18,906",184,Paperback,"34,584","Nonfiction, Memoir, Biography, Psychology, Autobiography, Abuse, Biography Memoir"
