Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
160,A Walk to Remember,Nicholas Sparks,4.20,"818,337","First published October 1, 1999","There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, and Landon had already dated a girl or two. He even swore that he had once been in love. Certainly the last person in town he thought he'd fall for was Jamie Sullivan, the daughter of the town's Baptist minister. A quiet girl who always carried a Bible with her schoolbooks, Jamie seemed content living in a world apart from the other teens. She took care of her widowed father, rescued hurt animals, and helped out at the local orphanage. No boy had ever asked her out. Landon would never have dreamed of it. Then a twist of fate made Jamie his partner for the homecoming dance, and Landon Carter's life would never be the same. Being with Jamie would show him the depths of the human heart and lead him to a decision so stunning it would send him irrevocably on the road to manhood. No other author today touches our emotions more deeply than Nicholas Sparks.","17,273",215,Kindle Edition,"112,778","Romance, Fiction, Contemporary, Young Adult, Chick Lit, Adult, Contemporary Romance"
158,"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,"1,106,275","First published May 5, 2007","It's not everyday you find yourself in combat with a half-lion, half-human.","42,528",320,Paperback,"113,942","Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology"
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,"1,127,000","First published March 6, 2008","Percy Jackson isn't expecting freshman orientation to be any fun. But when a mysterious mortal acquaintance appears at his potential new school, followed by demon cheerleaders, things quickly move from bad to worse.","37,390",361,Hardcover,"113,632","Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology"
161,The Thorn Birds,Colleen McCullough,4.25,"354,450","First published April 1, 1977","The Thorn Birds is a robust, romantic saga of a singular family, the Clearys. It begins in the early part of the 20th century, when Paddy Cleary moves his wife, Fiona, and their seven children to Drogheda, the vast Australian sheep station owned by his autocratic and childless older sister; and it ends more than half a century later, when the only survivor of the third generation, the brilliant actress Justine O'Neill, sets a course of life and love halfway around the world from her roots.","8,248",692,Mass Market Paperback,"110,874","Fiction, Historical Fiction, Romance, Classics, Historical, Historical Romance, Drama"
162,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,"454,894","First published March 19, 2013","Danger and betrayal, love and loss, secrets and enchantment are woven together in the breathtaking finale to the #1 New York Times bestselling Infernal Devices Trilogy, prequel to the internationally bestselling Mortal Instruments series.","40,857",567,Paperback,"109,421","Fantasy, Young Adult, Romance, Paranormal, Historical Fiction, Steampunk, Urban Fantasy"
157,"Insurgent (Divergent, #2)",Veronica Roth,3.97,"1,536,729","First published May 1, 2012","One choice can transform you—or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.","64,371",525,Hardcover,"114,213","Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Adventure"
155,The Addiction Manifesto,Jerry Weaver,4.81,"1,180","First published April 7, 2018",2020 International Book Awards Finalist for Health: Addiction & Recovery,52,178,Paperback,"115,064","Nonfiction, Self Help, Memoir, Mental Health, Psychology, Biography"
156,Love in the Time of Cholera,Gabriel García Márquez,3.94,"515,285","First published November 1, 1985","In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.","28,445",348,Paperback,"114,830","Fiction, Historical Fiction, Magical Realism, Literature, Novels, Spanish Literature, Literary Fiction"
152,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.54,"201,687","First published January 1, 1985","A love story, an adventure, and an epic of the frontier, Larry McMurtry’s Pulitzer Prize-winning classic, ","13,261",960,Paperback,"126,610","Fiction, Historical Fiction, Westerns, Classics, Historical, Adventure, Audiobook"
153,Peter Pan,J.M. Barrie,4.04,"354,157","First published January 1, 1911","One starry night, Peter Pan and Tinker Bell lead the three Darling children over the rooftops of London and away to Neverland - the island where lost boys play, mermaids splash and fairies make mischief. But a villainous-looking gang of pirates lurk in the docks, led by the terrifying Captain James Hook. Magic and excitement are in the air, but if Captain Hook has his way, before long, someone will be walking the plank and swimming with the crocodiles...","16,818",176,Hardcover,"122,832","Fantasy, Fiction, Childrens, Classics, Adventure, Young Adult, Audiobook"
150,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.26,"775,094","First published May 10, 1990","According to the Nice and Accurate Prophecies of Agnes Nutter - the world's only totally reliable guide to the future - the world will end on a Saturday. Next Saturday, in fact. Just after tea...","42,315",491,Mass Market Paperback,"127,343","Fantasy, Fiction, Humor, Audiobook, Comedy, Urban Fantasy, Science Fiction Fantasy"
151,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,"716,977","First published October 13, 2009","Romance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.","30,639",391,Hardcover,"127,091","Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction"
149,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.35,"154,380","First published January 1, 1971",This nine-book paperback box set of the classic series features the classic black-and-white artwork from Garth Williams.,"2,484",2700,Paperback,"127,487","Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade"
148,All Quiet on the Western Front,Erich Maria Remarque,4.08,"475,152","First published January 1, 1928",One by one the boys begin to fall…,"19,248",296,Mass Market Paperback,"129,662","Fiction, Historical Fiction, War, Classics, Historical, Literature, School"
144,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.48,"1,007,166","First published September 29, 2015",: a bustling hub of international trade where anything can be had for the right price—and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can’t pull it off alone...,"108,693",480,Hardcover,"132,521","Fantasy, Young Adult, Fiction, Young Adult Fantasy, LGBT, Adventure, Magic"
154,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.33,"3,712,267","First published September 1, 2009", ,"129,066",391,Hardcover,"116,677","Young Adult, Fiction, Fantasy, Science Fiction, Romance, Audiobook, Teen"
147,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.19,"552,870","First published March 12, 1957",A dreary day turns into a wild romp when this beloved story introduces readers to the ,"7,312",61,Hardcover,"130,903","Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor"
146,Watchmen,Alan             Moore,4.38,"568,033","First published January 1, 1987","This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.","17,860",416,Paperback,"131,132","Graphic Novels, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Classics, Comic Book"
145,The Divine Comedy,Dante Alighieri,4.08,"157,722","First published January 1, 1320","Translated in this edition by Allen Mandelbaum, ","6,560",798,Hardcover,"131,590","Poetry, Fiction, Literature, Philosophy, Religion, Fantasy, Italian Literature"
143,The Five People You Meet in Heaven,Mitch Albom,3.99,"739,851","First published September 1, 2003","From the author of the phenomenal #1 New York Times bestseller Tuesdays with Morrie, a novel that explores the unexpected connections of our lives, and the idea that heaven is more than a place; it's an answer. ","30,085",196,Paperback,"133,501","Fiction, Contemporary, Inspirational, Fantasy, Classics, Spirituality, Adult"
142,A Story of Yesterday,Sergio Cobo,4.57,"13,426","First published March 6, 2014",A Story of Yesterday is a concise and straight punch to the jaw of life.,381,70,Kindle Edition,"134,000","Thriller, Spanish Literature, Mystery, European Literature, Fiction, Magical Realism, Crime"
141,American Gods,Neil Gaiman,4.11,"954,130","First published June 19, 2001","Days before his release from prison, Shadow's wife, Laura, dies in a mysterious car crash. Numbly, he makes his way back home. On the plane, he encounters the enigmatic Mr Wednesday, who claims to be a refugee from a distant war, a former god and the king of America.","48,561",635,Kindle Edition,"137,110","Fantasy, Fiction, Mythology, Urban Fantasy, Audiobook, Science Fiction, Science Fiction Fantasy"
138,Perfume: The Story of a Murderer,Patrick Süskind,4.04,"490,572","First published February 26, 1985","An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.","27,511",263,Paperback,"140,045","Fiction, Classics, Historical Fiction, Horror, Thriller, Mystery, Crime"
140,Fight Club,Chuck Palahniuk,4.18,"606,384","First published August 17, 1996","Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. ","23,271",224,Paperback,"137,299","Fiction, Classics, Thriller, Novels, Mystery, Literature, Adult"
139,The Scarlet Letter,Nathaniel Hawthorne,3.43,"878,983","First published March 16, 1850","Set in 17th-century Puritan Boston, Massachusetts, during the years 1642 to 1649, it tells the story of Hester Prynne, who conceives a daughter through an affair and will not reveal her lover’s identity. The scarlet letter A (for adultery) she has to wear on her clothes, along with her public shaming, is her punishment for her sin and her secrecy. She struggles to create a new life of repentance and dignity. Throughout the book, Hawthorne explores themes of legalism, sin, and guilt.","21,198",279,Paperback,"138,313","Fiction, Classics, Historical Fiction, School, Literature, High School, Historical"
137,In Cold Blood,Truman Capote,4.09,"678,155","First published January 1, 1959","On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. ","25,093",343,Paperback,"140,490","Nonfiction, Classics, True Crime, Crime, Mystery, History, Thriller"
136,Where the Red Fern Grows,Wilson Rawls,4.12,"415,925","First published January 1, 1961","A loving threesome, they ranged the dark hills and river bottoms of Cherokee County. Old Dan had the brawn, Little Ann had the brains—and Billy had the will to train them to be the finest hunting team in the valley. Glory and victory were coming to them, but sadness waited too. And close by was the strange and wonderful power that's only found...","14,462",272,Mass Market Paperback,"142,754","Classics, Fiction, Young Adult, Childrens, Middle Grade, Historical Fiction, Animals"
134,"Holes (Holes, #1)",Louis Sachar,4.00,"1,244,421","First published August 20, 1998","Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing-great-great-grandfather and has since followed generations of Yelnats. Now Stanley has been unjustly sent to a boys’ detention center, Camp Green Lake, where the boys build character by spending all day, every day digging holes exactly five feet wide and five feet deep. There is no lake at Camp Green Lake. But there are an awful lot of holes.","27,669",272,Paperback,"143,260","Young Adult, Fiction, Middle Grade, Childrens, Classics, School, Realistic Fiction"
